PRDCTS_ID;PRDCT;PRDCT_DSCR;PRDCT_BASE_QTY;PRDCT_BASE_QTY_UNT
61223;10009894;Product 10009894;1000.00;KOM
61224;10009896;Product 10009896;1000.00;KOM
61225;10010112;Product 10010112;1000.00;KOM
61226;10009897;Product 10009897;1000.00;KOM
61227;10009964;Product 10009964;1000.00;KOM
61229;10010114;Product 10010114;1000.00;KOM
61230;10009973;Product 10009973;1000.00;KOM
61231;10010377;Product 10010377;1000.00;KOM
61232;10010251;Product 10010251;1000.00;KOM
61233;10009971;Product 10009971;1000.00;KOM
61234;10009972;Product 10009972;1000.00;KOM
61235;10009882;Product 10009882;1000.00;KOM
61236;1904981;Product 1904981;1000.00;KOM
61237;1904990;Product 1904990;1000.00;KOM
61238;10009943;Product 10009943;1000.00;KOM
61239;10010279;Product 10010279;1000.00;KOM
61240;10010058;Product 10010058;1000.00;KOM
61241;10010059;Product 10010059;1000.00;KOM
61242;10010060;Product 10010060;1000.00;KOM
61243;1903471;Product 1903471;1000.00;KOM
61244;1903497;Product 1903497;1000.00;KOM
61245;1903519;Product 1903519;1000.00;KOM
61246;1903462;Product 1903462;1000.00;KOM
61247;1903489;Product 1903489;1000.00;KOM
61248;1903501;Product 1903501;1000.00;KOM
61249;1904167;Product 1904167;1000.00;KOM
61250;1904752;Product 1904752;1000.00;KOM
61251;1904744;Product 1904744;1000.00;KOM
61252;1903829;Product 1903829;1000.00;KOM
61253;10010370;Product 10010370;1000.00;KOM
61254;10010192;Product 10010192;1000.00;KOM
61255;1904248;Product 1904248;1000.00;KOM
61256;1904230;Product 1904230;1000.00;KOM
61257;1904001;Product 1904001;1000.00;KOM
61258;1902831;Product 1902831;1000.00;KOM
61259;1904311;Product 1904311;1000.00;KOM
61260;1902881;Product 1902881;1000.00;KOM
61261;1904515;Product 1904515;1000.00;KOM
61262;1904531;Product 1904531;1000.00;KOM
61263;1904477;Product 1904477;1000.00;KOM
61264;1904540;Product 1904540;1000.00;KOM
61265;1904493;Product 1904493;1000.00;KOM
61266;1904507;Product 1904507;1000.00;KOM
61267;1904485;Product 1904485;1000.00;KOM
61268;1904469;Product 1904469;1000.00;KOM
61269;1904523;Product 1904523;1000.00;KOM
61270;2900165;Product 2900165;1000.00;KOM
61271;10009947;Product 10009947;1000.00;KOM
61272;10009946;Product 10009946;1000.00;KOM
61273;2900149;Product 2900149;1000.00;KOM
61274;10009945;Product 10009945;1000.00;KOM
61275;10009944;Product 10009944;1000.00;KOM
61276;2900157;Product 2900157;1000.00;KOM
61277;2900122;Product 2900122;1000.00;KOM
61278;1902717;Product 1902717;1000.00;KOM
61279;1902741;Product 1902741;1000.00;KOM
61280;1902725;Product 1902725;1000.00;KOM
61281;1902733;Product 1902733;1000.00;KOM
61282;1902334;Product 1902334;1000.00;KOM
61283;1902342;Product 1902342;1000.00;KOM
61284;10010284;Product 10010284;1000.00;KOM
61285;10010287;Product 10010287;1000.00;KOM
61286;10010281;Product 10010281;1000.00;KOM
61287;10010286;Product 10010286;1000.00;KOM
61288;10010285;Product 10010285;1000.00;KOM
61289;10010180;Product 10010180;1000.00;KOM
61290;10010181;Product 10010181;1000.00;KOM
61291;10010207;Product 10010207;1000.00;KOM
61292;10010316;Product 10010316;1000.00;KOM
61293;10009922;Product 10009922;1000.00;KOM
61294;1904931;Product 1904931;1000.00;KOM
61295;10010314;Product 10010314;1000.00;KOM
61296;1904825;Product 1904825;1000.00;KOM
61297;1904809;Product 1904809;1000.00;KOM
61298;10010036;Product 10010036;1000.00;KOM
61299;10010301;Product 10010301;1000.00;KOM
61300;10010379;Product 10010379;1000.00;KOM
61301;1902628;Product 1902628;1000.00;KOM
61302;10010344;Product 10010344;1000.00;KOM
61303;10010300;Product 10010300;1000.00;KOM
61304;10010378;Product 10010378;1000.00;KOM
61305;1902369;Product 1902369;1000.00;KOM
61306;10010118;Product 10010118;1000.00;KOM
61307;10010083;Product 10010083;1000.00;KOM
61308;10010085;Product 10010085;1000.00;KOM
61309;10010307;Product 10010307;1000.00;KOM
61310;1903721;Product 1903721;1000.00;KOM
61311;10010034;Product 10010034;1000.00;KOM
61312;1902059;Product 1902059;1000.00;KOM
61313;1902431;Product 1902431;1000.00;KOM
61314;10010382;Product 10010382;1000.00;KOM
61315;10010131;Product 10010131;1000.00;KOM
61316;10010126;Product 10010126;1000.00;KOM
61317;10010043;Product 10010043;1000.00;KOM
61318;1904817;Product 1904817;1000.00;KOM
61319;1902393;Product 1902393;1000.00;KOM
61320;10010035;Product 10010035;1000.00;KOM
61321;1903730;Product 1903730;1000.00;KOM
61322;10010419;Product 10010419;1000.00;KOM
61323;10010421;Product 10010421;1000.00;KOM
61324;1902857;Product 1902857;1000.00;KOM
61325;1902571;Product 1902571;1000.00;KOM
61326;10010033;Product 10010033;1000.00;KOM
61327;1903454;Product 1903454;1000.00;KOM
61328;10010140;Product 10010140;1000.00;KOM
61329;1903446;Product 1903446;1000.00;KOM
61330;10010420;Product 10010420;1000.00;KOM
61331;10010422;Product 10010422;1000.00;KOM
61332;1902873;Product 1902873;1000.00;KOM
61333;1902415;Product 1902415;1000.00;KOM
61334;10010151;Product 10010151;1000.00;KOM
61335;10010381;Product 10010381;1000.00;KOM
61336;10010208;Product 10010208;1000.00;KOM
61337;10010380;Product 10010380;1000.00;KOM
61338;10010343;Product 10010343;1000.00;KOM
61339;10010302;Product 10010302;1000.00;KOM
61340;1902423;Product 1902423;1000.00;KOM
61341;1902636;Product 1902636;1000.00;KOM
61342;10010111;Product 10010111;1000.00;KOM
61343;1904256;Product 1904256;1000.00;KOM
61344;10010032;Product 10010032;1000.00;KOM
61345;1903748;Product 1903748;1000.00;KOM
61346;1902610;Product 1902610;1000.00;KOM
61347;10010152;Product 10010152;1000.00;KOM
61348;1902385;Product 1902385;1000.00;KOM
61349;10010041;Product 10010041;1000.00;KOM
61350;10010209;Product 10010209;1000.00;KOM
61351;1902377;Product 1902377;1000.00;KOM
61352;10010037;Product 10010037;1000.00;KOM
61353;1902954;Product 1902954;1000.00;KOM
61354;10010289;Product 10010289;1000.00;KOM
61355;10010282;Product 10010282;1000.00;KOM
61356;10010283;Product 10010283;1000.00;KOM
61357;10010320;Product 10010320;1000.00;KOM
61358;10010277;Product 10010277;1000.00;KOM
61359;10010288;Product 10010288;1000.00;KOM
61360;10010290;Product 10010290;1000.00;KOM
61361;1903632;Product 1903632;1000.00;KOM
61362;1903608;Product 1903608;1000.00;KOM
61363;1903594;Product 1903594;1000.00;KOM
61364;1903624;Product 1903624;1000.00;KOM
61365;1903616;Product 1903616;1000.00;KOM
61366;10009977;Product 10009977;1000.00;KOM
61367;1904116;Product 1904116;1000.00;KOM
61368;1904108;Product 1904108;1000.00;KOM
61369;1904124;Product 1904124;1000.00;KOM
61370;10009978;Product 10009978;1000.00;KOM
61371;10009969;Product 10009969;1000.00;KOM
61372;10010262;Product 10010262;1000.00;KOM
61373;1903152;Product 1903152;1000.00;KOM
61374;1903365;Product 1903365;1000.00;KOM
61375;1903888;Product 1903888;1000.00;KOM
61376;1903322;Product 1903322;1000.00;KOM
61377;1903349;Product 1903349;1000.00;KOM
61378;1903331;Product 1903331;1000.00;KOM
61379;1903357;Product 1903357;1000.00;KOM
61380;1903306;Product 1903306;1000.00;KOM
61381;1903276;Product 1903276;1000.00;KOM
61382;1903292;Product 1903292;1000.00;KOM
61383;1903268;Product 1903268;1000.00;KOM
61384;1903250;Product 1903250;1000.00;KOM
61385;1901605;Product 1901605;1000.00;KOM
61386;1901591;Product 1901591;1000.00;KOM
61387;1903284;Product 1903284;1000.00;KOM
61388;1903071;Product 1903071;1000.00;KOM
61389;1903314;Product 1903314;1000.00;KOM
61390;1902750;Product 1902750;1000.00;KOM
61391;1903926;Product 1903926;1000.00;KOM
61392;1903136;Product 1903136;1000.00;KOM
61393;1903144;Product 1903144;1000.00;KOM
61394;1903381;Product 1903381;1000.00;KOM
61395;1903128;Product 1903128;1000.00;KOM
61396;1903896;Product 1903896;1000.00;KOM
61397;1903373;Product 1903373;1000.00;KOM
61398;1902351;Product 1902351;1000.00;KOM
61399;1903403;Product 1903403;1000.00;KOM
61400;1903390;Product 1903390;1000.00;KOM
61401;1904876;Product 1904876;1000.00;KOM
61402;10010254;Product 10010254;1000.00;KOM
61403;1904850;Product 1904850;1000.00;KOM
61404;10010123;Product 10010123;1000.00;KOM
61405;1904884;Product 1904884;1000.00;KOM
61406;10010253;Product 10010253;1000.00;KOM
61407;10010122;Product 10010122;1000.00;KOM
61408;10010255;Product 10010255;1000.00;KOM
61409;1904906;Product 1904906;1000.00;KOM
61410;10010313;Product 10010313;1000.00;KOM
61411;10010121;Product 10010121;1000.00;KOM
61412;1904892;Product 1904892;1000.00;KOM
61413;10010252;Product 10010252;1000.00;KOM
61414;10010120;Product 10010120;1000.00;KOM
61415;1904868;Product 1904868;1000.00;KOM
61416;1903551;Product 1903551;1000.00;KOM
61417;10010356;Product 10010356;1000.00;KOM
61418;1903543;Product 1903543;1000.00;KOM
61419;10010355;Product 10010355;1000.00;KOM
61420;1904566;Product 1904566;1000.00;KOM
61421;1903578;Product 1903578;1000.00;KOM
61422;1903586;Product 1903586;1000.00;KOM
61423;1903560;Product 1903560;1000.00;KOM
61424;1903080;Product 1903080;1000.00;KOM
61425;10009984;Product 10009984;1000.00;KOM
61426;1903420;Product 1903420;1000.00;KOM
61427;10010357;Product 10010357;1000.00;KOM
61428;1903187;Product 1903187;1000.00;KOM
61429;1903225;Product 1903225;1000.00;KOM
61430;1903217;Product 1903217;1000.00;KOM
61431;1903209;Product 1903209;1000.00;KOM
61432;1903195;Product 1903195;1000.00;KOM
61433;1903161;Product 1903161;1000.00;KOM
61434;1903233;Product 1903233;1000.00;KOM
61435;1903179;Product 1903179;1000.00;KOM
61436;1903241;Product 1903241;1000.00;KOM
61437;10010241;Product 10010241;1000.00;KOM
61438;1902962;Product 1902962;1000.00;KOM
61439;10010243;Product 10010243;1000.00;KOM
61440;1902989;Product 1902989;1000.00;KOM
61441;10009994;Product 10009994;1000.00;KOM
61442;10010245;Product 10010245;1000.00;KOM
61443;10010221;Product 10010221;1000.00;KOM
61444;1903055;Product 1903055;1000.00;KOM
61445;1902491;Product 1902491;1000.00;KOM
61446;1903047;Product 1903047;1000.00;KOM
61447;10010240;Product 10010240;1000.00;KOM
61448;10010414;Product 10010414;1000.00;KOM
61449;10009933;Product 10009933;1000.00;KOM
61450;1902806;Product 1902806;1000.00;KOM
61451;1902814;Product 1902814;1000.00;KOM
61452;10010223;Product 10010223;1000.00;KOM
61453;10010417;Product 10010417;1000.00;KOM
61454;1903039;Product 1903039;1000.00;KOM
61455;1903021;Product 1903021;1000.00;KOM
61456;10010063;Product 10010063;1000.00;KOM
61457;10010415;Product 10010415;1000.00;KOM
61458;1902997;Product 1902997;1000.00;KOM
61459;10010061;Product 10010061;1000.00;KOM
61460;10010412;Product 10010412;1000.00;KOM
61461;1902890;Product 1902890;1000.00;KOM
61462;10009934;Product 10009934;1000.00;KOM
61463;10010242;Product 10010242;1000.00;KOM
61464;10010413;Product 10010413;1000.00;KOM
61465;1902971;Product 1902971;1000.00;KOM
61466;1902661;Product 1902661;1000.00;KOM
61467;10010062;Product 10010062;1000.00;KOM
61468;10010411;Product 10010411;1000.00;KOM
61469;10010064;Product 10010064;1000.00;KOM
61470;10010410;Product 10010410;1000.00;KOM
61471;1903012;Product 1903012;1000.00;KOM
61472;10010416;Product 10010416;1000.00;KOM
61473;1902521;Product 1902521;1000.00;KOM
61474;1902580;Product 1902580;1000.00;KOM
61475;1903004;Product 1903004;1000.00;KOM
61476;10009997;Product 10009997;1000.00;KOM
61477;10010246;Product 10010246;1000.00;KOM
61478;1903438;Product 1903438;1000.00;KOM
61479;10009983;Product 10009983;1000.00;KOM
61480;10010339;Product 10010339;1000.00;KOM
61481;1902318;Product 1902318;1000.00;KOM
61482;10010276;Product 10010276;1000.00;KOM
61483;1902300;Product 1902300;1000.00;KOM
61484;10010275;Product 10010275;1000.00;KOM
61485;1902288;Product 1902288;1000.00;KOM
61486;1902296;Product 1902296;1000.00;KOM
61487;1902326;Product 1902326;1000.00;KOM
61488;1903063;Product 1903063;1000.00;KOM
61489;10010116;Product 10010116;1000.00;KOM
61490;1903535;Product 1903535;1000.00;KOM
61491;10009982;Product 10009982;1000.00;KOM
61492;1904558;Product 1904558;1000.00;KOM
61493;10010190;Product 10010190;1000.00;KOM
61494;1903861;Product 1903861;1000.00;KOM
61495;1903870;Product 1903870;1000.00;KOM
61496;1903683;Product 1903683;1000.00;KOM
61497;10010204;Product 10010204;1000.00;KOM
61498;10010203;Product 10010203;1000.00;KOM
61499;10010202;Product 10010202;1000.00;KOM
61500;10010423;Product 10010423;1000.00;KOM
61501;10010424;Product 10010424;1000.00;KOM
61502;10010425;Product 10010425;1000.00;KOM
61503;1902041;Product 1902041;1000.00;KOM
61504;1904337;Product 1904337;1000.00;KOM
61505;1904345;Product 1904345;1000.00;KOM
61506;1904205;Product 1904205;1000.00;KOM
61507;1904353;Product 1904353;1000.00;KOM
61508;1904086;Product 1904086;1000.00;KOM
61509;1904078;Product 1904078;1000.00;KOM
61510;1904060;Product 1904060;1000.00;KOM
61511;1904159;Product 1904159;1000.00;KOM
61512;1904141;Product 1904141;1000.00;KOM
61513;10009887;Product 10009887;1000.00;KOM
61514;1904213;Product 1904213;1000.00;KOM
61515;1904183;Product 1904183;1000.00;KOM
61516;1904175;Product 1904175;1000.00;KOM
61517;1904329;Product 1904329;1000.00;KOM
61518;10010092;Product 10010092;1000.00;KOM
61519;10010130;Product 10010130;1000.00;KOM
61520;1904191;Product 1904191;1000.00;KOM
61521;1904361;Product 1904361;1000.00;KOM
61522;1904221;Product 1904221;1000.00;KOM
61523;1904035;Product 1904035;1000.00;KOM
61524;1904043;Product 1904043;1000.00;KOM
61525;1904094;Product 1904094;1000.00;KOM
61526;1904027;Product 1904027;1000.00;KOM
61527;1904051;Product 1904051;1000.00;KOM
61528;1904132;Product 1904132;1000.00;KOM
61529;10009889;Product 10009889;1000.00;KOM
61530;1904663;Product 1904663;1000.00;KOM
61531;10009939;Product 10009939;1000.00;KOM
61532;10009936;Product 10009936;1000.00;KOM
61533;1901397;Product 1901397;1000.00;KOM
61534;1901389;Product 1901389;1000.00;KOM
61535;1901371;Product 1901371;1000.00;KOM
61536;1901362;Product 1901362;1000.00;KOM
61537;1905031;Product 1905031;1000.00;KOM
61538;855456;Product 855456;1000.00;KG
61539;895097;Product 895097;1000.00;KG
61540;80006752;Product 80006752;1000.00;KG
61541;80006751;Product 80006751;1000.00;KG
61542;80006750;Product 80006750;1000.00;KG
61543;80006711;Product 80006711;1000.00;KG
61544;855150;Product 855150;1000.00;KG
61545;895149;Product 895149;1000.00;KG
61546;80006740;Product 80006740;1000.00;KOM
61547;895164;Product 895164;1000.00;KG
61548;80006742;Product 80006742;1000.00;KOM
61549;80006743;Product 80006743;1000.00;KOM
61550;895148;Product 895148;1000.00;KG
61551;80006741;Product 80006741;1000.00;KOM
61552;895163;Product 895163;1000.00;KG
61553;80006760;Product 80006760;1000.00;KOM
61554;80006746;Product 80006746;1000.00;KG
61555;80006745;Product 80006745;1000.00;KG
61556;80006690;Product 80006690;1000.00;KG
61557;844922;Product 844922;1000.00;KG
61558;80006744;Product 80006744;1000.00;KG
61559;80006747;Product 80006747;1000.00;KG
61560;844923;Product 844923;1000.00;KG
61561;844921;Product 844921;1000.00;KG
61562;80006739;Product 80006739;1000.00;KG
61563;80006738;Product 80006738;1000.00;KG
61564;895065;Product 895065;1000.00;KG
61565;895116;Product 895116;1000.00;KG
61566;895117;Product 895117;1000.00;KG
61567;895118;Product 895118;1000.00;KG
61568;844916;Product 844916;1000.00;KG
61569;80006863;Product 80006863;1000.00;KG
61570;895138;Product 895138;1000.00;KOM
61571;80006709;Product 80006709;1000.00;KG
61572;80006710;Product 80006710;1000.00;KG
61573;80006861;Product 80006861;1000.00;KG
61574;80006830;Product 80006830;1000.00;KG
61575;80006832;Product 80006832;1000.00;KG
61576;80006862;Product 80006862;1000.00;KG
61577;80006860;Product 80006860;1000.00;KG
61578;895144;Product 895144;1000.00;KG
61579;895145;Product 895145;1000.00;KG
61580;80006800;Product 80006800;1000.00;KG
61581;895143;Product 895143;1000.00;KG
61582;80006801;Product 80006801;1000.00;KG
61583;895142;Product 895142;1000.00;KG
61584;895147;Product 895147;1000.00;KG
61585;80006736;Product 80006736;1000.00;KG
61586;895146;Product 895146;1000.00;KG
61587;895106;Product 895106;1000.00;KG
61588;844915;Product 844915;1000.00;KG
61589;855998;Product 855998;1000.00;KG
61590;855797;Product 855797;1000.00;KG
61591;80006841;Product 80006841;1000.00;KG
61592;855789;Product 855789;1000.00;KG
61593;80006842;Product 80006842;1000.00;KG
61594;895092;Product 895092;1000.00;KG
61595;80006753;Product 80006753;1000.00;KG
61596;895085;Product 895085;1000.00;KG
61597;80006737;Product 80006737;1000.00;KG
61598;855786;Product 855786;1000.00;KG
61599;895104;Product 895104;1000.00;KG
61600;895140;Product 895140;1000.00;KG
61601;855792;Product 855792;1000.00;KG
61602;80006790;Product 80006790;1000.00;KG
61603;80006843;Product 80006843;1000.00;KG
61604;855787;Product 855787;1000.00;KG
61605;895029;Product 895029;1000.00;KG
61606;895139;Product 895139;1000.00;KG
61607;855788;Product 855788;1000.00;KG
61608;895041;Product 895041;1000.00;KG
61609;80006791;Product 80006791;1000.00;KG
61610;895030;Product 895030;1000.00;KG
61611;855715;Product 855715;1000.00;KG
61612;855714;Product 855714;1000.00;KG
61613;855733;Product 855733;1000.00;KG
61614;895093;Product 895093;1000.00;KG
61615;895095;Product 895095;1000.00;KG
61616;895094;Product 895094;1000.00;KG
61617;895096;Product 895096;1000.00;KG
61618;895157;Product 895157;1000.00;KG
61619;895156;Product 895156;1000.00;KG
61620;895160;Product 895160;1000.00;KG
61621;80006706;Product 80006706;1000.00;KG
61622;895162;Product 895162;1000.00;KG
61623;895161;Product 895161;1000.00;KG
61624;895075;Product 895075;1000.00;KG
61625;895074;Product 895074;1000.00;KG
61626;895076;Product 895076;1000.00;KG
61627;895077;Product 895077;1000.00;KG
61628;895105;Product 895105;1000.00;KG
61629;855025;Product 855025;1000.00;KG
61630;80006869;Product 80006869;1000.00;KG
61631;855042;Product 855042;1000.00;KG
61632;80006870;Product 80006870;1000.00;KG
61633;855027;Product 855027;1000.00;KG
61634;80006867;Product 80006867;1000.00;KG
61635;855091;Product 855091;1000.00;KG
61636;855093;Product 855093;1000.00;KG
61637;855095;Product 855095;1000.00;KG
61638;855094;Product 855094;1000.00;KG
61639;855090;Product 855090;1000.00;KG
61640;895153;Product 895153;1000.00;KG
61641;895150;Product 895150;1000.00;KG
61086;10010135;Product 10010135;1000.00;KOM
61087;10010136;Product 10010136;1000.00;KOM
61088;10010342;Product 10010342;1000.00;KOM
61089;10010341;Product 10010341;1000.00;KOM
61090;10010428;Product 10010428;1000.00;KOM
61091;10010309;Product 10010309;1000.00;KOM
61092;10010340;Product 10010340;1000.00;KOM
61093;1904914;Product 1904914;1000.00;KOM
61094;1904671;Product 1904671;1000.00;KOM
61095;1904922;Product 1904922;1000.00;KOM
61096;1904787;Product 1904787;1000.00;KOM
61097;1903977;Product 1903977;1000.00;KOM
61098;1904795;Product 1904795;1000.00;KOM
61099;1902709;Product 1902709;1000.00;KOM
61100;1902784;Product 1902784;1000.00;KOM
61101;1904272;Product 1904272;1000.00;KOM
61102;10010306;Product 10010306;1000.00;KOM
61103;10010308;Product 10010308;1000.00;KOM
61104;1903985;Product 1903985;1000.00;KOM
61105;10010426;Product 10010426;1000.00;KOM
61106;10010427;Product 10010427;1000.00;KOM
61107;1903993;Product 1903993;1000.00;KOM
61642;895154;Product 895154;1000.00;KG
61643;895151;Product 895151;1000.00;KG
61644;895155;Product 895155;1000.00;KG
61645;895152;Product 895152;1000.00;KG
61646;895042;Product 895042;1000.00;KG
61647;80006704;Product 80006704;1000.00;KG
61648;80006864;Product 80006864;1000.00;KG
61649;895110;Product 895110;1000.00;KG
61650;895073;Product 895073;1000.00;KG
61651;895043;Product 895043;1000.00;KG
61652;80006872;Product 80006872;1000.00;KG
61653;855041;Product 855041;1000.00;KG
61654;895113;Product 895113;1000.00;KG
61655;895112;Product 895112;1000.00;KG
61656;895111;Product 895111;1000.00;KG
61657;855049;Product 855049;1000.00;KG
61658;80006692;Product 80006692;1000.00;KG
61659;855004;Product 855004;1000.00;KG
61660;895114;Product 895114;1000.00;KG
61661;855036;Product 855036;1000.00;KG
61662;895141;Product 895141;1000.00;KG
61663;895087;Product 895087;1000.00;KG
61664;895091;Product 895091;1000.00;KG
61665;80006712;Product 80006712;1000.00;KG
61666;80006810;Product 80006810;1000.00;KG
61667;895078;Product 895078;1000.00;KG
61668;895048;Product 895048;1000.00;KG
61669;80006700;Product 80006700;1000.00;KG
61670;895107;Product 895107;1000.00;KG
61671;80006811;Product 80006811;1000.00;KG
61672;895063;Product 895063;1000.00;KG
61673;895086;Product 895086;1000.00;KG
61674;895079;Product 895079;1000.00;KG
61675;895080;Product 895080;1000.00;KG
61676;895027;Product 895027;1000.00;KG
61677;80006707;Product 80006707;1000.00;KG
61678;80006701;Product 80006701;1000.00;KG
61679;895081;Product 895081;1000.00;KG
61680;895026;Product 895026;1000.00;KG
61681;895025;Product 895025;1000.00;KG
61682;895047;Product 895047;1000.00;KG
61683;80006714;Product 80006714;1000.00;KG
61684;895009;Product 895009;1000.00;KG
61685;80006871;Product 80006871;1000.00;KG
61686;80006691;Product 80006691;1000.00;KG
61687;895102;Product 895102;1000.00;KG
61688;895100;Product 895100;1000.00;KG
61689;895098;Product 895098;1000.00;KG
61690;895101;Product 895101;1000.00;KG
61691;895099;Product 895099;1000.00;KG
61692;80006702;Product 80006702;1000.00;KG
61693;80006868;Product 80006868;1000.00;KG
61694;855457;Product 855457;1000.00;KG
61695;855468;Product 855468;1000.00;KG
61696;895134;Product 895134;1000.00;KG
61697;895135;Product 895135;1000.00;KG
61698;895090;Product 895090;1000.00;KG
61699;895082;Product 895082;1000.00;KG
61700;80006705;Product 80006705;1000.00;KG
61701;895131;Product 895131;1000.00;KOM
61702;895132;Product 895132;1000.00;KOM
61703;895129;Product 895129;1000.00;KOM
61704;895136;Product 895136;1000.00;KOM
61705;895137;Product 895137;1000.00;KOM
61706;895128;Product 895128;1000.00;KOM
61707;895126;Product 895126;1000.00;KOM
61708;895127;Product 895127;1000.00;KOM
61709;895121;Product 895121;1000.00;KG
61710;895122;Product 895122;1000.00;KG
61711;895119;Product 895119;1000.00;KG
61712;895125;Product 895125;1000.00;KOM
61713;895120;Product 895120;1000.00;KG
61714;895124;Product 895124;1000.00;KOM
61715;895123;Product 895123;1000.00;KG
61716;895133;Product 895133;1000.00;KOM
61717;895130;Product 895130;1000.00;KOM
61718;895070;Product 895070;1000.00;KG
61719;895071;Product 895071;1000.00;KG
61720;895109;Product 895109;1000.00;KG
61108;1903101;Product 1903101;1000.00;KOM
61109;1904841;Product 1904841;1000.00;KOM
61110;1902695;Product 1902695;1000.00;KOM
61111;10010250;Product 10010250;1000.00;KOM
61112;10010348;Product 10010348;1000.00;KOM
61113;10010349;Product 10010349;1000.00;KOM
61114;10010315;Product 10010315;1000.00;KOM
